City,State,Station_Count,Population_Density,EV_Vehicle_Density
100 Mile House,BC,6,960,250
4305 Park Road,NC,1,3872,44
70 Mile House,BC,1,3192,23
8900 E. Buckeye Ave.,WA,1,566,204
AIKEN,SC,1,4526,222
AKRON,OH,1,3544,12
AKWESASNE,ON,1,3271,188
ALBERT LEA,MN,1,3019,49
ALGONA,IA,1,230,173
ALLENTOWN,PA,1,1785,244
ANAHEIM,CA,1,869,266
ANN ARBOR,MI,1,2491,125
ANTHEM,AZ,1,2533,61
APex,NC,1,1284,151
ARDEN,NC,1,4655,95
ASHLAND,WI,1,3485,55
ATHENS,OH,3,4217,247
ATLANTA,GA,1,4943,19
AUBURN,ME,1,3004,161
AVON,OH,1,574,70
Abbeville,SC,1,1182,27
Abbotsford,BC,62,2658,95
Abbott,TX,1,2147,146
Aberdeen,MD,11,2847,239
Aberdeen,NC,1,1075,137
Aberdeen,NJ,1,1906,113
Aberdeen,SD,3,289,195
Aberdeen,WA,6,2834,187
Aberdeen Proving Ground,MD,1,3105,15
Abesecon,NJ,1,4758,45
Abilene,KS,3,1999,290
Abilene,TX,7,1367,23
Abingdon,MD,7,1628,246
Abingdon,VA,6,3302,294
Abington,MA,3,3656,59
Abington,PA,1,3990,270
Abita Springs,LA,3,746,119
Absecon,NJ,1,2988,206
Acampo,CA,3,2535,261
Accokeek,MD,1,700,97
Acme,MI,2,2463,35
Acme,PA,1,2161,271
Acton,CA,1,341,153
Acton,MA,24,2141,69
Acton,ON,4,2924,277
Acton Vale,QC,3,2712,84
Acushnet,MA,1,1463,12
Acworth,GA,9,1578,72
Ada,MI,3,2656,245
Ada,OH,4,875,238
Ada,OK,5,4114,284
Adairsville,GA,4,134,27
Adams,MA,5,3252,89
Adams,TN,1,2055,224
Adamsburg,PA,1,1685,180
Addis,LA,1,4043,264
Addison,IL,4,3173,135
Addison,TX,12,1121,264
Adel,IA,1,3561,81
Adelanto,CA,1,2713,47
Adelphi,MD,1,3943,213
Adrian,MI,5,1600,181
Adstock,QC,5,4898,232
Afton,VA,1,261,226
Afton,WY,2,4397,254
Afton Station,NS,1,2081,200
Agassiz,BC,4,1095,191
Agawam,MA,17,3442,214
Agoura,CA,1,4651,208
Agoura Hills,CA,26,3898,174
Aguadilla,PR,1,1375,251
Aguanish,QC,1,1116,139
Aguas Buenas,PR,1,437,236
Aguilar,CO,1,978,131
Ahwahnee,CA,1,1176,53
Aidrie,AB,1,4987,205
Aiea,HI,11,4093,213
Aiken,SC,5,4959,266
Ailsa Craig,ON,1,479,26
Ainsworth,NE,2,592,281
Ainsworth Hot Springs,BC,2,2162,18
Airdrie,AB,5,3984,258
Airway Heights,WA,8,164,210
Ajax,ON,34,2668,68
Ajo,AZ,2,2127,149
Akron,CO,2,2795,128
Akron,NY,1,1595,50
Akron,OH,47,491,276
Akron,PA,1,4614,17
Akwesasne,NY,2,4574,192
Akwesasne,ON,3,3661,143
Alabaster,AL,2,2378,190
Alachua,FL,1,3199,81
Alameda,CA,60,300,122
"Alameda, CA",CA,1,4975,116
Alamo,CA,1,3204,299
Alamo,TX,1,4698,126
Alamo Heights,TX,3,2554,129
Alamogordo,NM,4,3745,156
Alamosa,CO,9,904,219
Alanson,MI,2,2831,112
Albanel,QC,1,2873,133
Albany,CA,5,1670,254
Albany,GA,13,2790,218
Albany,MN,1,3940,118
Albany,NH,1,1128,59
Albany,NY,226,602,114
Albany,OR,11,4593,36
Albany,VT,1,970,297
Albemarle,NC,4,4588,266
Albert Lea,MN,6,306,282
Alberton,PE,7,1584,146
Albertville,AL,2,963,41
Albertville,MN,2,2890,54
Albia,IA,1,663,274
Albion,IN,1,4291,39
Albion,MI,2,1857,93
Albion,NE,1,1778,175
Albion,NY,2,3342,10
Albuquerque,NM,158,4736,258
Alcoa,TN,8,1159,270
Aldergrove,BC,1,1822,72
Alderson,WV,1,3414,173
Aldersyde,AB,3,3257,210
Alderville,ON,1,2725,231
Aldie,VA,1,2829,161
Alexander,NC,1,1697,141
Alexander,NY,1,3160,123
Alexander City,AL,6,2793,226
Alexandria,LA,11,4991,205
Alexandria,MN,11,3727,290
Alexandria,NH,1,1463,211
Alexandria,ON,1,2081,144
Alexandria,VA,103,1763,243
Alexandria Bay,NY,1,1629,150
Alfred,ON,1,2138,205
Algoma,ON,1,3402,52
Algoma,WI,1,2337,66
Algona,IA,1,1406,151
Algona,WA,1,4129,219
Algonquin,IL,6,2775,81
Algonquin Highlands,ON,1,1382,233
Alhambra,CA,11,809,36
Alice,TX,1,4844,137
Aliceville,AL,1,4513,115
Alington,VA,1,3848,174
Aliso Viejo,CA,19,4879,224
Allamuchy,NJ,1,763,80
Allegan,MI,1,2098,213
Allen,NE,1,3545,162
Allen,TX,10,3843,76
Allen Park,MI,6,1595,99
Allendale,MI,1,3404,269
Allendale,NJ,1,3863,237
Allendale Charter Township,MI,3,1953,88
Allentown,PA,55,4759,105
Allenwood,PA,1,1391,255
Alliance,OH,4,3681,281
Allston,MA,6,3557,166
Alma,CO,1,1736,125
Alma,MI,4,3796,27
Alma,NB,1,3099,181
Alma,ON,1,3252,25
Alma,QC,18,798,249
Almont,CO,2,2260,65
Almont,MI,2,4197,88
Almonte,ON,5,4837,112
Aloha,OR,1,954,293
Alouette,QC,2,3574,202
Alpena,MI,3,1807,14
Alpharetta,GA,81,2877,115
Alpine,CA,4,1833,287
Alpine,TN,1,3610,109
Alpine,TX,4,302,247
Alpine,UT,2,3355,278
Alsip,IL,1,4318,95
Alston,MA,1,4596,41
Alta,UT,1,866,60
Altamont,NY,25,4489,88
Altamonte Springs,FL,8,2427,195
Altavista,VA,1,3031,183
Alto,GA,2,297,115
Alton,IL,6,2030,72
Alton,ON,2,3682,85
Alton,VA,1,708,90
Altona,MB,3,3372,137
Altoona,IA,24,1247,192
Altoona,PA,11,4382,252
Altoona,WI,3,3497,194
Altos Hills,CA,1,2611,229
Alturas,CA,2,1894,80
Altus,OK,1,759,163
Altus AFB,OK,1,2911,254
Alva,OK,1,1469,149
Alvarado,TX,3,2086,80
Alvin,TX,2,246,55
Alys Beach,FL,1,3319,56
Amador City,CA,1,3011,88
Amagansett,NY,1,1834,158
Amana,IA,2,1943,139
Amaranth,ON,1,588,136
Amarillo,TX,25,3076,128
Ambler,PA,11,2059,271
Ambridge,PA,1,2485,253
Amelia,OH,1,3019,112
Amelia Island,FL,1,4836,46
Amenia,NY,3,1902,151
Amer Cyn,CA,1,4161,46
American Canyon,CA,11,3469,17
American Falls,ID,2,362,240
American Fork,UT,8,723,116
Americus,GA,4,1116,27
Amerst,NY,1,3743,92
Amery,WI,2,2149,297
Ames,IA,20,3823,203
Amesbury,MA,18,4648,224
Amherst,MA,45,3208,290
Amherst,NH,1,4190,229
Amherst,NS,5,2156,298
Amherst,NY,15,3270,203
Amherst,OH,1,1782,167
Amherst,QC,2,2355,113
Amherst,VA,1,1254,43
Amherstburg,ON,5,4599,111
Amit,OR,1,3291,136
Amity,OR,2,1796,223
Amityville,NY,6,4091,188
Ammon,ID,1,4823,89
Amory,MS,5,4782,150
Amos,QC,15,1748,40
Amqui,QC,4,1545,72
Amsterdam,NY,17,4299,57
Anaconda,MT,1,4023,96
Anacortes,WA,15,353,70
Anacostia Naval Station,DC,1,3283,283
Anadarko,OK,1,2657,293
Anaheim,CA,261,198,89
Anahola,HI,1,2300,189
Ancaster,ON,7,3061,281
Anchorage,AK,12,4533,86
Ancienne-Lorette,QC,1,3877,230
Ancram,NY,2,2969,291
